2022-06-28 18:11:01.389  INFO [,,] 23876 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-28 18:11:01.445  INFO [,,] 23876 --- [restartedMain] o.a.c.c.C.[Tomcat-1].[localhost].[/]     : Initializing Spring embedded WebApplicationContext
2022-06-28 18:11:01.445  INFO [,,] 23876 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 162 ms
2022-06-28 18:11:01.457  INFO [,,] 23876 --- [restartedMain] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 19 endpoint(s) beneath base path '/actuator'
2022-06-28 18:11:02.116  INFO [,,] 23876 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9000 (http) with context path ''
2022-06-28 18:11:02.407  INFO [,,] 23876 --- [restartedMain] br.com.jrafael.api.ExpenseApplicationKt  : Started ExpenseApplicationKt in 18.075 seconds (JVM running for 19.494)
2022-06-28 18:11:02.723  INFO [,,] 23876 --- [RMI TCP Connection(8)-192.168.0.9] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-28 18:11:02.723  INFO [,,] 23876 --- [RMI TCP Connection(8)-192.168.0.9] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-28 18:11:02.728  INFO [,,] 23876 --- [RMI TCP Connection(8)-192.168.0.9] o.s.web.servlet.DispatcherServlet        : Completed initialization in 4 ms
2022-06-28 18:11:12.023  INFO [,67f94b4bd1ed5faa,67f94b4bd1ed5faa] 23876 --- [http-nio-8080-exec-2] b.c.j.api.controllers.ExpenseController  : Log sent to splunk!!
2022-06-28 18:11:12.024  INFO [,67f94b4bd1ed5faa,67f94b4bd1ed5faa] 23876 --- [http-nio-8080-exec-2] b.c.j.api.adapters.LoggableAdapter       : process to create a new expense started
2022-06-28 18:11:12.026  INFO [,67f94b4bd1ed5faa,67f94b4bd1ed5faa] 23876 --- [http-nio-8080-exec-2] b.c.j.api.adapters.LoggableAdapter       : process to validate finished
2022-06-28 18:11:12.848  INFO [,1ed50fe74e9241e1,1ed50fe74e9241e1] 23876 --- [http-nio-8080-exec-3] b.c.j.api.controllers.ExpenseController  : Log sent to splunk!!
2022-06-28 18:11:12.848  INFO [,1ed50fe74e9241e1,1ed50fe74e9241e1] 23876 --- [http-nio-8080-exec-3] b.c.j.api.adapters.LoggableAdapter       : process to create a new expense started
2022-06-28 18:11:12.849  INFO [,1ed50fe74e9241e1,1ed50fe74e9241e1] 23876 --- [http-nio-8080-exec-3] b.c.j.api.adapters.LoggableAdapter       : process to validate finished
2022-06-28 18:12:55.028  INFO [,,] 23876 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-06-28 18:12:55.249  WARN [,,] 23876 --- [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-212]
2022-06-28 18:12:55.251  INFO [,,] 23876 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-06-28 18:12:55.260  INFO [,,] 23876 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
